"PLAYER","injuries","missed_games","travel_games","total_travel","played_games_48h","played_games_72h","played_games_7d","games_count","games_played","player_position","total_min","avg_perc_min","height","weight","salary","salary_claimed","age_season","wins","win_pct","ave_win_pct","matches_played_att","avg_attendance","missed_games_injury_att","avg_attendance_missed","n_returns","geo_att_return","wins_without","SGV_missed","player_win_factor","player_attendance_factor","win_pct_with","win_pct_without","attend_with","attend_without","games_with","games_without"
"Keon Johnson",3,28,53,20541.9880439709,0.567901234567901,0.901234567901235,1.72839506172839,81,40,"SG",416.366666666667,0.216857638888889,77,186,2681040,926779.25925926,20.8446269678303,13,0.325,0.265053276970775,40,18151.475,40,18418.825,39,-0.000238930983544217,20,432970907.878,1.50093808630394,1.01472883057713,0.325,0.48780487804878,18151.475,18418.825,40,41
"Kessler Edwards",0,0,55,21931.9543961295,0.542168674698795,0.795180722891566,1.60240963855422,83,36,"SF",385.816666666667,0.223273533950617,80,215,1637966,0,22.4271047227926,17,0.472222222222222,0.232898822375878,36,18061.8888888889,47,17869.8936170213,35,0.00250715778046895,33,880154661.804,1.48685857321652,0.989370144338241,0.472222222222222,0.702127659574468,18061.8888888889,17869.8936170213,36,47
"Kevin Durant",5,28,56,22040.9310790438,0.6875,1.0375,2.1,80,47,"PF",1671.73333333333,0.741016548463357,83,240,44119845,15441945.75,34.2874743326489,34,0.723404255319149,0.29112512728058,47,18183.9361702128,33,17467.2121212121,46,-0.00115492589125277,14,703310492.382,0.586452762923351,0.960584768760093,0.723404255319149,0.424242424242424,18183.9361702128,17467.2121212121,47,33
"Kevin Huerter",5,5,52,42595.1431272803,1.08536585365854,1.6219512195122,3.28048780487805,82,75,"SG",2202.8,0.611888888888889,79,190,14508929,884690.792682925,24.3791923340178,44,0.586666666666667,0.477034143699221,75,17433.8666666667,7,18121.4285714286,74,0.00148292828332286,4,89046001.356,0.974025974025974,1.03943829087993,0.586666666666667,0.571428571428571,17433.8666666667,18121.4285714286,75,7
"Kevin Knox II",3,6,54,31774.7439096,0.91358024691358,1.38271604938272,2.67901234567901,81,62,"SF",928.183333349,0.311889560937164,79,215,3000000.00024,222222.22224,23.4236824093087,12,0.193548387096774,0.202720622508794,61,18444.5245901639,19,17889,60,-0.000383200382261806,9,178087164.04,2.44736842105263,0.969881327791979,0.193548387096774,0.473684210526316,18444.5245901639,17889,62,19
"Kevin Love",5,22,58,29183.6193903399,0.857142857142857,1.29761904761905,2.6547619047619,84,62,"PF",1239.48333333333,0.416493055555556,80,251,30556968,8003015.42857144,34.3477070499658,35,0.564516129032258,0.464403532960106,62,18750.9838709677,22,18792.1818181818,60,7.89404661301063e-05,15,317951958.924,1.20779220779221,1.00219710856228,0.564516129032258,0.681818181818182,18750.9838709677,18792.1818181818,62,22
"Kevin Porter Jr.",0,0,54,28121.0621885478,0.829268292682927,1.31707317073171,2.64634146341463,82,59,"PG",2023.88333333333,0.714648069679849,76,203,3217631,0,22.6926762491444,18,0.305084745762712,0.162705203019997,59,17100.2542372881,23,16727.2608695652,58,0.00114241300453144,4,201706140.64,0.570048309178744,0.97818784665145,0.305084745762712,0.173913043478261,17100.2542372881,16727.2608695652,59,23
"Kevon Harris",2,8,53,17956.0169694516,0.475609756097561,0.780487804878049,1.45121951219512,82,34,"SG",457.083333333333,0.280075571895425,77,216,508891,49647.9024390244,25.5537303216975,12,0.352941176470588,0.11183571573873,34,16729.8529411765,48,18336.0625,32,0.00344292986227024,22,427080875.375,1.29861111111111,1.0960085880295,0.352941176470588,0.458333333333333,16729.8529411765,18336.0625,34,48
"Kevon Looney",3,0,54,45531.3303856081,1.18518518518519,1.76543209876543,3.50617283950617,81,81,"C",1936.7,0.498122427983539,81,222,8e+06,0,26.933607118412,43,0.530864197530864,0.495162077160928,81,18274.9382716049,NA,NA,80,0.00110398388682786,NA,0,1,1,0.530864197530864,NA,18274.9382716049,NA,81,0
"Khem Birch",3,39,50,9845.70836899845,0.280487804878049,0.439024390243902,0.841463414634146,82,20,"C",161.85,0.16859375,81,233,6667500,3171128.04878049,30.290212183436,9,0.45,0.124533431465313,20,18573.9,62,18835.1129032258,19,0.000534478122769411,32,1010653472.54,1.14695340501792,1.01406343865455,0.45,0.516129032258065,18573.9,18835.1129032258,20,62
"Khris Middleton",4,48,59,18453.1757059603,0.463414634146341,0.75609756097561,1.52439024390244,82,33,"SF",800.783333333333,0.505545033670034,79,222,37984276,22234698.1463414,31.4209445585216,25,0.757575757575758,0.284670662234099,33,17805.7878787879,49,17986.387755102,32,-0.000454392768944545,33,765952082.724,0.888979591836735,1.01014276242891,0.757575757575758,0.673469387755102,17805.7878787879,17986.387755102,33,49
"Killian Hayes",4,3,57,32102.8509410858,1.07407407407407,1.66666666666667,3.24691358024691,81,75,"PG",2122.31666666667,0.589532407407407,77,195,5837760,216213.333333333,21.4633812457221,16,0.213333333333333,0.232884244691003,75,18215.88,6,18358,74,0.000868753892185214,1,39103362.316,0.78125,1.00780198376362,0.213333333333333,0.166666666666667,18215.88,18358,75,6
"Kira Lewis Jr.",0,0,38,12888.2453874092,0.517857142857143,0.803571428571429,1.53571428571429,56,25,"PG",234.766666666667,0.195638888888889,73,170,2734630.24390244,0,21.7700205338809,11,0.44,0.159249079764358,25,17717.24,31,17813.8387096774,24,-0.0058911024692504,13,418618608.605,0.953079178885631,1.00545224367212,0.44,0.419354838709677,17717.24,17813.8387096774,25,31
"Klay Thompson",6,13,54,41060.6078539933,1.02469135802469,1.50617283950617,2.97530864197531,81,68,"SF",2256.25,0.69125306372549,77,215,40600080,6516062.22222223,32.9267624914442,37,0.544117647058823,0.420260812400375,68,18237.6764705882,13,18469.8461538462,67,0.00131833085572275,6,119146409.991,0.848232848232848,1.01273022271408,0.544117647058823,0.461538461538462,18237.6764705882,18469.8461538462,68,13
